tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,match_winner
2022-2058,Melbourne 1,Hard,32,I,20220103,272,211817,,,Elena Gabriela Ruse,R,,ROU,24.1,201613,,WC,Arina Rodionova,R,168.0,AUS,32.0,6-3 6-2,3,R32,67.0,3.0,6.0,54.0,29.0,23.0,13.0,9.0,3.0,4.0,1.0,2.0,50.0,32.0,20.0,6.0,8.0,2.0,6.0,87.0,859.0,152.0,478.0,0
2023-718,Dubai,Hard,64,P,20230220,292,201662,,,Karolina Pliskova,R,184.0,CZE,30.9,211843,,,Anhelina Kalinina,R,179.0,UKR,26.0,7-5 6-7(6) 6-2,3,R16,165.0,13.0,3.0,112.0,72.0,54.0,20.0,16.0,3.0,4.0,6.0,5.0,111.0,64.0,44.0,25.0,16.0,0.0,4.0,18.0,1910.0,33.0,1347.0,0
2024-1038,Madrid,Clay,128,PM,20240422,299,216347,1,,Iga Swiatek,R,176.0,POL,22.8,201619,18,,Madison Keys,R,178.0,USA,29.1,6-1 6-3,3,SF,70.0,0.0,0.0,50.0,36.0,25.0,11.0,8.0,3.0,3.0,5.0,0.0,45.0,28.0,15.0,6.0,8.0,1.0,5.0,1.0,10560.0,20.0,2298.0,0
2022-609,Indian Wells,Hard,96,P,20220307,261,216347,3,,Iga Swiatek,R,176.0,POL,20.7,211843,,,Anhelina Kalinina,R,179.0,UKR,25.0,5-7 6-0 6-1,3,R64,120.0,5.0,3.0,86.0,50.0,34.0,14.0,13.0,11.0,16.0,1.0,9.0,73.0,42.0,20.0,8.0,12.0,5.0,14.0,4.0,4776.0,50.0,1113.0,0
2024-1020,Beijing,Hard,128,PM,20240925,177,216133,,,Xin Yu Wang,R,182.0,CHN,22.9,215988,,LL,Mai Hontama,R,,JPN,25.0,6-1 6-3,3,R128,70.0,0.0,1.0,50.0,33.0,25.0,11.0,8.0,1.0,1.0,0.0,3.0,44.0,29.0,17.0,4.0,8.0,2.0,6.0,50.0,1123.0,116.0,618.0,0
2024-580,Australian Open,Hard,128,G,20240115,199,215035,,Q,Dayana Yastremska,R,175.0,UKR,23.6,215613,27,,Emma Navarro,R,,USA,22.6,6-2 2-6 6-1,3,R32,106.0,5.0,3.0,79.0,36.0,26.0,23.0,12.0,4.0,7.0,0.0,3.0,73.0,51.0,31.0,8.0,11.0,3.0,8.0,93.0,777.0,26.0,1730.0,0
2022-609,Indian Wells,Hard,96,P,20220307,208,201595,,,Misaki Doi,L,159.0,JPN,30.8,215713,,,Anastasia Potapova,R,175.0,RUS,20.9,0-6 6-4 6-3,3,R128,117.0,1.0,6.0,87.0,44.0,26.0,15.0,13.0,6.0,13.0,2.0,10.0,82.0,52.0,29.0,11.0,12.0,5.0,11.0,95.0,695.0,121.0,531.0,0
2022-560,Us Open,Hard,128,G,20220829,123,202505,13,,Belinda Bencic,R,175.0,SUI,25.4,201492,,,Andrea Petkovic,R,180.0,GER,34.9,6-2 4-6 6-4,3,R128,134.0,8.0,7.0,80.0,54.0,44.0,12.0,14.0,2.0,4.0,3.0,8.0,87.0,57.0,37.0,16.0,14.0,4.0,8.0,13.0,2635.0,104.0,606.0,0
2023-1050,Hobart,Hard,32,I,20230109,284,215020,,Q,Anna Blinkova,R,179.0,RUS,24.3,214459,,,Lucia Bronzetti,R,,ITA,24.0,6-4 6-3,3,R32,97.0,1.0,3.0,75.0,38.0,22.0,23.0,10.0,6.0,7.0,0.0,1.0,55.0,36.0,22.0,10.0,9.0,2.0,5.0,72.0,809.0,50.0,996.0,0
2022-902,Miami,Hard,96,P,20220321,243,206368,21,,Veronika Kudermetova,R,175.0,RUS,24.9,213646,,Q,Dalma Galfi,R,178.0,HUN,23.6,5-1 RET,3,R64,36.0,2.0,0.0,30.0,14.0,10.0,8.0,3.0,6.0,6.0,0.0,1.0,19.0,11.0,8.0,1.0,4.0,2.0,4.0,23.0,2035.0,107.0,628.0,0
2024-2072,Monastir,Hard,32,I,20240909,296,222661,,Q,Sonay Kartal,R,,GBR,22.8,263857,,Q,Yuliia Starodubtseva,R,,UKR,24.5,7-6(4) 6-2,3,QF,,2.0,2.0,66.0,42.0,28.0,10.0,10.0,1.0,4.0,1.0,1.0,91.0,72.0,38.0,6.0,10.0,14.0,19.0,151.0,486.0,130.0,558.0,0
2024-1039,Monterrey,Hard,32,P,20240819,280,213887,,,Renata Zarazua,R,,MEX,26.8,211874,,WC,Victoria Rodriguez,U,170.0,MEX,29.3,6-1 6-4,3,R32,82.0,1.0,1.0,51.0,40.0,26.0,7.0,9.0,1.0,3.0,0.0,2.0,52.0,25.0,15.0,10.0,8.0,5.0,10.0,97.0,740.0,300.0,218.0,0
2022-804,Charleston,Clay,64,P,20220404,279,201427,12,,Alize Cornet,R,173.0,FRA,32.1,221024,,,Hailey Baptiste,R,,USA,20.4,6-3 6-2,3,R32,68.0,2.0,4.0,54.0,30.0,23.0,14.0,9.0,2.0,3.0,0.0,3.0,48.0,27.0,17.0,9.0,8.0,2.0,6.0,34.0,1315.0,124.0,515.0,0
2023-520,Roland Garros,Clay,128,G,20230529,134,201506,,,Sara Errani,R,164.0,ITA,36.0,213525,,,Jil Teichmann,L,170.0,SUI,25.8,3-6 6-4 6-2,3,R128,139.0,0.0,2.0,84.0,61.0,39.0,8.0,13.0,6.0,10.0,3.0,7.0,100.0,51.0,30.0,24.0,14.0,6.0,12.0,73.0,802.0,77.0,785.0,0
2023-1023,Guangzhou,Hard,32,I,20230918,270,214149,,LL,Viktoria Hruncakova,R,,SVK,25.3,214939,,,Anna Kalinskaya,R,175.0,RUS,24.7,7-6(4) 3-6 6-3,3,R32,119.0,8.0,5.0,89.0,58.0,48.0,16.0,15.0,0.0,2.0,2.0,0.0,86.0,64.0,48.0,10.0,15.0,0.0,2.0,128.0,570.0,77.0,814.0,0
2023-609,Indian Wells,Hard,96,PM,20230306,284,221054,,,Emma Raducanu,R,175.0,GBR,20.3,206242,13,,Beatriz Haddad Maia,L,185.0,BRA,26.7,6-1 2-6 6-4,3,R32,139.0,2.0,4.0,83.0,55.0,38.0,14.0,13.0,3.0,5.0,4.0,4.0,76.0,52.0,37.0,10.0,12.0,5.0,8.0,77.0,784.0,13.0,2246.0,0
2022-718,Dubai,Hard,32,P,20220214,284,201520,,,Petra Kvitova,L,183.0,CZE,31.9,202429,,,Camila Giorgi,R,168.0,ITA,30.1,6-2 6-0,3,R32,68.0,2.0,1.0,51.0,33.0,23.0,10.0,7.0,4.0,4.0,3.0,8.0,46.0,23.0,12.0,6.0,7.0,2.0,7.0,25.0,2065.0,29.0,1692.0,0
2024-2050,Cluj-Napoca,Hard,32,I,20240205,278,220589,6,,Elina Avanesyan,R,,ARM,21.3,211337,,,Tamara Korpatsch,R,170.0,GER,28.7,6-4 7-6(3),3,R32,122.0,0.0,0.0,78.0,55.0,32.0,11.0,11.0,4.0,9.0,2.0,3.0,78.0,39.0,16.0,23.0,11.0,5.0,11.0,61.0,1049.0,77.0,918.0,0
2022-1086,St. Petersburg,Hard,32,P,20220207,288,205925,,,Aliaksandra Sasnovich,R,174.0,BLR,27.8,211713,,,Jaqueline Cristian,R,180.0,ROU,23.6,6-2 6-3,3,R16,71.0,4.0,3.0,49.0,35.0,25.0,4.0,8.0,4.0,6.0,2.0,7.0,58.0,32.0,18.0,9.0,9.0,2.0,8.0,71.0,923.0,58.0,1013.0,0
2024-540,Wimbledon,Grass,128,G,20240701,143,259104,,,Brenda Fruhvirtova,R,,CZE,17.2,259799,24,,Mirra Andreeva,R,,RUS,17.1,1-6 6-3 6-2,3,R128,126.0,0.0,5.0,98.0,53.0,32.0,18.0,12.0,13.0,19.0,2.0,4.0,69.0,37.0,25.0,9.0,12.0,2.0,9.0,88.0,801.0,23.0,2018.0,0
2024-609,Indian Wells,Hard,128,PM,20240306,271,215613,23,,Emma Navarro,R,,USA,22.8,202494,16,,Elina Svitolina,R,174.0,UKR,29.4,6-1 4-6 6-3,3,R32,120.0,0.0,1.0,83.0,59.0,34.0,14.0,13.0,2.0,6.0,1.0,4.0,88.0,50.0,30.0,14.0,13.0,6.0,13.0,23.0,1998.0,17.0,2332.0,0
2023-540,Wimbledon,Grass,128,G,20230703,213,202494,,WC,Elina Svitolina,R,174.0,UKR,28.8,201458,19,,Victoria Azarenka,R,180.0,BLR,33.9,2-6 6-4 7-6(9),3,R16,166.0,8.0,0.0,95.0,71.0,52.0,9.0,16.0,2.0,6.0,4.0,8.0,122.0,82.0,54.0,19.0,15.0,6.0,9.0,76.0,798.0,20.0,1996.0,0
2024-540,Wimbledon,Grass,128,G,20240701,216,215138,,Q,Lulu Sun,L,,NZL,23.2,221054,,WC,Emma Raducanu,R,175.0,GBR,21.6,6-2 5-7 6-2,3,R16,170.0,4.0,4.0,100.0,54.0,37.0,25.0,14.0,5.0,7.0,4.0,2.0,106.0,72.0,39.0,18.0,14.0,8.0,13.0,123.0,616.0,135.0,559.0,0
2024-1024,Seoul,Hard,32,P,20240916,279,201586,,Q,Heather Watson,R,170.0,GBR,32.3,203288,,Q,Jia Jing Lu,R,173.0,CHN,34.8,6-4 6-4,3,R32,96.0,5.0,2.0,55.0,26.0,23.0,15.0,10.0,1.0,2.0,2.0,6.0,74.0,30.0,19.0,24.0,10.0,8.0,11.0,183.0,390.0,274.0,247.0,0
2023-609,Indian Wells,Hard,96,PM,20230306,269,216347,1,,Iga Swiatek,R,176.0,POL,21.7,214906,,,Claire Liu,R,170.0,USA,22.7,6-0 6-1,3,R64,65.0,1.0,3.0,41.0,30.0,24.0,6.0,7.0,0.0,0.0,1.0,2.0,42.0,24.0,9.0,6.0,6.0,4.0,9.0,1.0,10585.0,56.0,972.0,0
