iter	Passed	Remaining
0	4	479
1	10	494
2	15	489
3	20	497
4	25	484
5	30	475
6	36	482
7	41	477
8	46	471
9	52	470
10	57	462
11	61	454
12	67	449
13	71	441
14	76	433
15	81	428
16	86	421
17	90	413
18	96	410
19	101	404
20	105	397
21	110	392
22	115	386
23	120	380
24	125	376
25	130	370
26	134	363
27	139	357
28	144	352
29	148	346
30	153	340
31	158	336
32	162	330
33	167	325
34	172	320
35	177	315
36	182	310
37	187	306
38	192	301
39	197	296
40	202	291
41	207	286
42	212	281
43	217	276
44	222	271
45	227	266
46	232	261
47	237	256
48	242	252
49	246	246
50	252	242
51	257	237
52	261	232
53	266	227
54	271	222
55	275	216
56	280	211
57	285	206
58	289	201
59	294	196
60	299	191
61	303	186
62	308	181
63	314	176
64	318	171
65	323	166
66	328	161
67	332	156
68	337	151
69	342	146
70	347	141
71	351	136
72	356	131
73	361	127
74	366	122
75	371	117
76	376	112
77	380	107
78	385	102
79	389	97
80	394	92
81	399	87
82	403	82
83	409	77
84	413	72
85	418	68
86	423	63
87	427	58
88	432	53
89	437	48
90	442	43
91	447	38
92	452	34
93	457	29
94	461	24
95	466	19
96	471	14
97	476	9
98	480	4
99	485	0
