iter	RMSE
0	0.4798438065
1	0.4755220238
2	0.4709577785
3	0.4661326041
4	0.4618491859
5	0.4579546305
6	0.4536846318
7	0.4505913916
8	0.4469013421
9	0.4432229395
10	0.4403046299
11	0.4362943989
12	0.4337633475
13	0.4310089117
14	0.4271098549
15	0.4237441843
16	0.4206961451
17	0.4167899309
18	0.413980815
19	0.4107555156
20	0.4076114029
21	0.4042593862
22	0.3999167343
23	0.3967676618
24	0.393860046
25	0.3907913372
26	0.3866350093
27	0.3834403799
28	0.3790615305
29	0.3762916357
30	0.3730079122
31	0.3692693419
32	0.3669133891
33	0.3642290646
34	0.3614844104
35	0.3588382811
36	0.3563318317
37	0.3535823357
38	0.3509689176
39	0.3480293587
40	0.3462750449
41	0.34432747
42	0.3419902287
43	0.3399331538
44	0.3366959581
45	0.3341779523
46	0.3314939316
47	0.32838842
48	0.3266652523
49	0.3242424407
50	0.3213767786
51	0.3196702126
52	0.3173749511
53	0.3148597427
54	0.3128584252
55	0.3109982596
56	0.3092082756
57	0.3066939101
58	0.3040092373
59	0.3014795016
60	0.2997399742
61	0.298272697
62	0.2959183721
63	0.2934205246
64	0.2913066073
65	0.2892868648
66	0.2867353894
67	0.2847516743
68	0.2813108468
69	0.279900942
70	0.2772748068
71	0.2749200316
72	0.2730332448
73	0.2713935442
74	0.2699399039
75	0.2681246293
76	0.2661153497
77	0.2643485342
78	0.2625598185
79	0.260805798
80	0.2586351049
81	0.2573012318
82	0.2558285187
83	0.2542715375
84	0.2530225154
85	0.2514960715
86	0.2502907124
87	0.2492354714
88	0.2479945521
89	0.2463935096
90	0.2445654256
91	0.2425281289
92	0.2410323445
93	0.2388049136
94	0.23659223
95	0.2356271653
96	0.2335456709
97	0.2319346822
98	0.2303345972
99	0.2288004351
100	0.2269693121
101	0.2253152562
102	0.2238511865
103	0.2226685228
104	0.2205934878
105	0.218776185
106	0.216969722
107	0.2154155699
108	0.214193033
109	0.2127901982
110	0.2112241804
111	0.2094064655
112	0.2081473368
113	0.2073868097
114	0.2056429513
115	0.2043012925
116	0.2033133109
117	0.2025216188
118	0.2011258938
119	0.2001556845
120	0.1986645791
121	0.1971152508
122	0.1959627823
123	0.1949409943
124	0.1941572482
125	0.1933004166
126	0.1915477493
127	0.1900502076
128	0.1888860187
129	0.1880223895
130	0.1865419167
131	0.1860441942
132	0.1846388686
133	0.1836632787
134	0.1829830802
135	0.1818582267
136	0.180551783
137	0.1796423391
138	0.1780729426
139	0.1764652309
140	0.1755723773
141	0.1743641533
142	0.1739718367
143	0.1726114565
144	0.1712210892
145	0.1704413985
146	0.1689064613
147	0.1672925826
148	0.1663548031
149	0.1652185894
150	0.1636926533
151	0.1622890079
152	0.1611424092
153	0.159331917
154	0.158118448
155	0.1571023439
156	0.1558834991
157	0.1550869425
158	0.1537097255
159	0.1526378725
160	0.1515912044
161	0.1505252646
162	0.1496416383
163	0.1485739422
164	0.1475076929
165	0.1463824829
166	0.1452890826
167	0.1440452325
168	0.1427361702
169	0.1424150615
170	0.1418061776
171	0.1414135128
172	0.1403504454
173	0.1394370165
174	0.138233104
175	0.1377530116
176	0.1368936199
177	0.135781665
178	0.13528182
179	0.1341592865
180	0.1329305328
181	0.1320986939
182	0.1308878629
183	0.1299467571
184	0.1288084955
185	0.1277243619
186	0.1265712625
187	0.1261109963
188	0.1255054743
189	0.1245987602
190	0.1235771261
191	0.1227176182
192	0.1216571469
193	0.1208527185
194	0.1202206256
195	0.1197507604
196	0.1191012175
197	0.1181397934
198	0.1176384424
199	0.1170723087
200	0.1166252056
201	0.1159115579
202	0.1151644312
203	0.1141408096
204	0.1139202295
205	0.1135032093
206	0.1127517992
207	0.1121152149
208	0.1115538757
209	0.1109351002
210	0.1103815998
211	0.1094689538
212	0.1084133238
213	0.1074257275
214	0.1064324483
215	0.1061461567
216	0.1053094837
217	0.1043174882
218	0.1036108655
219	0.1028067046
220	0.1025064798
221	0.1021411184
222	0.1014997558
223	0.1010306446
224	0.1005709017
225	0.09970042071
226	0.09945917831
227	0.09904232896
228	0.09828685011
229	0.09754324118
230	0.09694083432
231	0.09631537155
232	0.09592269734
233	0.09549419633
234	0.09509291613
235	0.09456317506
236	0.09394427264
237	0.09377438034
238	0.09326306955
239	0.0923843172
240	0.0916468236
241	0.09116428986
242	0.09063419798
243	0.09002546888
244	0.08953566382
245	0.08866177495
246	0.08819841379
247	0.08764809229
248	0.08687530909
249	0.08639245421
250	0.0859243847
251	0.08559139605
252	0.08536941936
253	0.08493300719
254	0.08446169492
255	0.08397748785
256	0.08336889086
257	0.08289337384
258	0.0824619125
259	0.08211027665
260	0.08198224548
261	0.08129294073
262	0.08073467635
263	0.08049210286
264	0.08036587827
265	0.07968699587
266	0.07955390379
267	0.07916030865
268	0.07864737212
269	0.07852294101
270	0.07817659085
271	0.0777728704
272	0.07748116079
273	0.07685561043
274	0.07628152843
275	0.07599210118
276	0.07544376171
277	0.07518744231
278	0.07490612462
279	0.07477040384
280	0.0743038376
281	0.07418572901
282	0.07364413479
283	0.0733682606
284	0.07325315972
285	0.07268268853
286	0.07256994799
287	0.07245140717
288	0.07196489966
289	0.07146224276
290	0.07096424813
291	0.07067416152
292	0.07047397474
293	0.07019508524
294	0.06969454221
295	0.06942875798
296	0.06930981871
297	0.06883615703
298	0.06861590085
299	0.06836189132
300	0.06804938883
