iter	Passed	Remaining
0	0	870
1	1	700
2	1	620
3	2	586
4	2	569
5	3	552
6	3	545
7	4	539
8	4	533
9	5	527
10	5	532
11	6	550
12	7	531
13	7	536
14	8	534
15	8	537
16	9	536
17	9	533
18	10	531
19	10	529
20	11	527
21	11	529
22	12	531
23	13	530
24	14	549
25	14	548
26	15	546
27	15	542
28	16	540
29	16	538
30	17	535
31	17	535
32	18	535
33	18	535
34	19	534
35	19	533
36	20	532
37	21	534
38	21	533
39	22	534
40	22	533
41	23	532
42	23	531
43	24	531
44	25	530
45	25	530
46	26	532
47	26	532
48	27	531
49	27	529
50	28	527
51	28	526
52	29	524
53	29	523
54	30	523
55	31	523
56	31	522
57	32	523
58	32	523
59	33	522
60	33	521
61	34	520
62	34	520
63	35	521
64	36	521
65	36	521
66	37	521
67	38	521
68	38	522
69	39	521
70	39	520
71	40	519
72	40	518
73	41	517
74	41	515
75	42	514
76	42	513
77	43	513
78	43	512
79	44	512
80	45	511
81	45	510
82	46	509
83	46	507
84	47	506
85	47	505
86	48	504
87	48	503
88	49	502
89	49	502
90	50	503
91	51	505
92	51	505
93	52	504
94	52	503
95	53	502
96	53	501
97	54	499
98	54	498
99	55	498
100	56	498
101	56	497
102	57	496
103	57	495
104	58	494
105	58	493
106	59	492
107	59	491
108	60	490
109	60	489
110	60	488
111	61	487
112	61	486
113	62	485
114	62	484
115	63	482
116	63	481
117	64	479
118	64	479
119	65	478
120	65	476
121	65	474
122	66	473
123	66	471
124	67	470
125	67	468
126	67	467
127	68	466
128	68	465
129	69	464
130	69	463
131	70	460
132	70	459
133	70	458
134	71	457
135	71	456
136	72	455
137	72	454
138	73	453
139	73	453
140	74	453
141	74	452
142	75	451
143	75	451
144	76	450
145	76	449
146	77	448
147	77	448
148	78	447
149	78	447
150	79	447
151	80	446
152	80	446
153	81	445
154	81	446
155	82	445
156	82	444
157	83	444
158	83	443
159	84	442
160	84	441
161	85	440
162	85	439
163	86	438
164	86	438
165	87	438
166	87	438
167	88	437
168	88	436
169	89	436
170	89	435
171	90	434
172	90	433
173	91	432
174	91	432
175	92	431
176	92	430
177	93	430
178	94	431
179	94	431
180	95	430
181	95	429
182	95	428
183	96	427
184	96	426
185	97	425
186	97	424
187	98	424
188	98	423
189	99	423
190	99	423
191	100	423
192	101	422
193	101	421
194	102	421
195	102	420
196	102	419
197	103	419
198	103	418
199	104	417
200	104	417
201	105	416
202	106	416
203	106	416
204	107	415
205	107	414
206	108	414
207	108	414
208	109	413
209	109	412
210	110	412
211	110	411
212	111	411
213	111	411
214	112	410
215	113	410
216	113	409
217	113	408
218	114	408
219	114	407
220	115	406
221	115	406
222	116	405
223	116	404
224	117	404
225	117	403
226	118	403
227	118	402
228	119	402
229	119	401
230	120	400
231	120	400
232	121	399
233	121	398
234	122	398
235	123	398
236	123	397
237	124	397
238	124	396
239	125	396
240	125	395
241	126	395
242	126	394
243	127	393
244	127	393
245	128	392
246	128	391
247	129	391
248	129	390
249	130	390
250	130	389
251	131	389
252	131	388
253	132	388
254	132	387
255	132	386
256	133	385
257	133	384
258	134	384
259	134	383
260	135	382
261	135	381
262	136	381
263	136	381
264	137	380
265	138	380
266	138	380
267	138	379
268	139	378
269	139	377
270	140	376
271	140	375
272	140	375
273	141	374
274	141	373
275	142	372
276	142	372
277	142	371
278	143	370
279	143	369
280	144	369
281	144	368
282	145	367
283	145	366
284	145	365
285	146	365
286	146	364
287	146	363
288	147	362
289	147	361
290	148	361
291	148	360
292	149	360
293	149	359
294	150	358
295	150	357
296	150	357
297	151	356
298	151	356
299	152	355
300	152	354
301	153	354
302	153	353
303	153	352
304	154	351
305	154	351
306	155	350
307	155	350
308	156	349
309	156	349
310	157	348
311	157	347
312	158	347
313	158	346
314	158	345
315	159	344
316	159	343
317	160	343
318	160	342
319	160	342
320	161	341
321	161	341
322	162	340
323	162	339
