tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2023-609,Indian Wells,Hard,96,PM,20230306,286,214544,2,,Aryna Sabalenka,R,182,BLR,24.8,206252,16,,Barbora Krejcikova,R,178,CZE,27.2,6-3 2-6 6-4,3,R16,123,11,4,84,53,39,12,14,1,4,3,6,88,58,37,16,13,8,11,2,6100,16,2205
2023-609,Indian Wells,Hard,96,PM,20230306,285,216347,1,,Iga Swiatek,R,176,POL,21.7,215370,32,,Bianca Andreescu,R,170,CAN,22.7,6-3 7-6(1),3,R32,127,1,0,73,50,31,10,11,4,8,1,2,72,55,30,4,10,3,8,1,10585,36,1303
2023-609,Indian Wells,Hard,96,PM,20230306,284,221054,,,Emma Raducanu,R,175,GBR,20.3,206242,13,,Beatriz Haddad Maia,L,185,BRA,26.7,6-1 2-6 6-4,3,R32,139,2,4,83,55,38,14,13,3,5,4,4,76,52,37,10,12,5,8,77,784,13,2246
2023-609,Indian Wells,Hard,96,PM,20230306,283,201514,,,Sorana Cirstea,R,176,ROU,32.9,211095,,,Bernarda Pera,L,175,USA,28.2,6-3 6-1,3,R32,67,4,0,44,22,19,12,8,0,1,3,5,55,24,14,12,8,0,5,83,743,43,1200
2023-609,Indian Wells,Hard,96,PM,20230306,282,201614,5,,Caroline Garcia,R,177,FRA,29.3,220367,30,,Leylah Fernandez,L,168,CAN,20.4,6-4 6-7(5) 6-1,3,R32,133,11,3,93,49,42,26,15,2,2,5,8,91,50,34,21,14,1,4,5,4905,49,1080
2023-609,Indian Wells,Hard,96,PM,20230306,281,214954,,,Marketa Vondrousova,L,173,CZE,23.6,202460,4,,Ons Jabeur,R,167,TUN,28.5,7-6(5) 6-4,3,R32,91,0,5,68,37,23,17,11,0,4,2,2,71,37,25,10,11,3,8,105,632,4,4921
2023-609,Indian Wells,Hard,96,PM,20230306,280,214096,,,Karolina Muchova,R,178,CZE,26.5,203354,23,,Martina Trevisan,L,160,ITA,29.3,6-4 3-6 6-4,3,R32,161,7,7,97,58,43,19,15,5,8,0,4,97,65,41,17,14,10,13,76,791,26,1529
2023-609,Indian Wells,Hard,96,PM,20230306,279,214981,10,,Elena Rybakina,R,184,KAZ,23.7,211651,21,,Paula Badosa,R,180,ESP,25.3,6-3 7-5,3,R32,95,9,1,76,44,30,19,10,5,6,2,7,63,34,23,13,11,4,8,10,2935,22,1758
2023-902,Miami,Hard,96,PM,20230320,273,201514,,,Sorana Cirstea,R,176,ROU,32.9,214096,,Q,Karolina Muchova,R,178,CZE,26.5,7-5 6-1,3,R32,91,4,1,53,39,26,9,10,2,4,3,1,63,40,20,10,9,3,8,74,838,55,1006
2023-902,Miami,Hard,96,PM,20230320,272,214954,,,Marketa Vondrousova,L,173,CZE,23.7,201662,17,,Karolina Pliskova,R,184,CZE,30.9,6-1 6-2,3,R32,52,4,3,46,31,23,6,8,4,6,2,5,37,26,8,3,7,2,8,103,632,17,2155
